cty,Name,Individual_income_For_Children_Born_in_1978_rP_gM_p25
cty12051,"Hendry County, FL",28316.85
cty12019,"Clay County, FL",26652.104
cty12041,"Gilchrist County, FL",26588.734
cty12053,"Hernando County, FL",26285.645
cty10001,"Kent County, DE",26128.945
cty12047,"Hamilton County, FL",26080.926
cty12063,"Jackson County, FL",25747.521
cty12011,"Broward County, FL",25675.895
cty12005,"Bay County, FL",25638.867
cty12009,"Brevard County, FL",25035.061
cty10005,"Sussex County, DE",25014.994
cty12007,"Bradford County, FL",24912.596
cty12059,"Holmes County, FL",24891.232
cty12057,"Hillsborough County, FL",24792.695
cty12061,"Indian River County, FL",24652.188
cty10003,"New Castle County, DE",24509.074
cty12055,"Highlands County, FL",24402.652
cty12023,"Columbia County, FL",23811.648
cty12033,"Escambia County, FL",23614.199
cty12045,"Gulf County, FL",22791.564
cty12031,"Duval County, FL",22776.205
cty12001,"Alachua County, FL",22319.955
cty12027,"DeSoto County, FL",21804.186
cty11001,"District of Columbia, DC",21646.32
cty12037,"Franklin County, FL",
cty12039,"Gadsden County, FL",18878.656
cty12043,"Glades County, FL",
cty12065,"Jefferson County, FL",21318.51
cty12067,"Lafayette County, FL",
cty12087,"Monroe County, FL",28602.848
cty13005,"Bacon County, GA",28346.688
cty12125,"Union County, FL",27882.385
cty12129,"Wakulla County, FL",27172.287
cty12113,"Santa Rosa County, FL",27063.305
cty12086,"Miami-Dade County, FL",26528.154
cty12117,"Seminole County, FL",26476.908
cty12121,"Suwannee County, FL",26188.512
cty13029,"Bryan County, GA",25992.83
cty12097,"Osceola County, FL",25893.898
cty12085,"Martin County, FL",25688.119
cty12115,"Sarasota County, FL",25654.813
cty12071,"Lee County, FL",25647.623
cty12093,"Okeechobee County, FL",25316.605
cty12075,"Levy County, FL",25280.201
cty13001,"Appling County, GA",25277.434
cty12099,"Palm Beach County, FL",25189.283
cty12101,"Pasco County, FL",25147.557
cty13025,"Brantley County, GA",25129.037
cty12089,"Nassau County, FL",24926.352
cty12111,"St. Lucie County, FL",24739.58
cty12083,"Marion County, FL",24708.396
cty12091,"Okaloosa County, FL",24685.119
cty13013,"Barrow County, GA",24641.891
cty12119,"Sumter County, FL",24630.096
cty12105,"Polk County, FL",24586.252
cty13019,"Berrien County, GA",24552.277
cty12133,"Washington County, FL",24546.379
cty12127,"Volusia County, FL",24459.213
cty12103,"Pinellas County, FL",24367.766
cty13023,"Bleckley County, GA",24287.654
cty12095,"Orange County, FL",24021.244
cty12131,"Walton County, FL",23945.545
cty12081,"Manatee County, FL",23842.896
cty12109,"St. Johns County, FL",23823.773
cty12069,"Lake County, FL",23435.959
cty13027,"Brooks County, GA",22497.029
cty12073,"Leon County, FL",21588.068
cty12077,"Liberty County, FL",
cty13035,"Butts County, GA",23578.385
cty12107,"Putnam County, FL",23379.008
cty13017,"Ben Hill County, GA",23119.695
cty13015,"Bartow County, GA",22169.049
cty13011,"Banks County, GA",22124.58
cty12123,"Taylor County, FL",21942.775
cty12079,"Madison County, FL",21738.338
cty13003,"Atkinson County, GA",
cty13113,"Fayette County, GA",28706.395
cty13103,"Effingham County, GA",27608.684
cty13109,"Evans County, GA",26333.232
cty13135,"Gwinnett County, GA",26270.17
cty13039,"Camden County, GA",25377.564
cty13043,"Candler County, GA",24822.09
cty13067,"Cobb County, GA",24776.316
cty13047,"Catoosa County, GA",24700.895
cty13045,"Carroll County, GA",24176.699
cty13049,"Charlton County, GA",
cty13083,"Dade County, GA",27145.293
cty13057,"Cherokee County, GA",26171.338
cty13119,"Franklin County, GA",25153.701
cty13139,"Hall County, GA",24915.441
cty13117,"Forsyth County, GA",24787.998
cty13145,"Harris County, GA",24763.197
cty13129,"Gordon County, GA",24623.516
cty13137,"Habersham County, GA",24509.117
cty13097,"Douglas County, GA",24420.627
cty13123,"Gilmer County, GA",24368.641
cty13073,"Columbia County, GA",24309.439
cty13093,"Dooly County, GA",23804.795
cty13079,"Crawford County, GA",23788.463
cty13077,"Coweta County, GA",23784.969
cty13091,"Dodge County, GA",23627.117
cty13053,"Chattahoochee County, GA",23603.111
cty13143,"Haralson County, GA",23597.143
cty13107,"Emanuel County, GA",23485.723
cty13147,"Hart County, GA",23402.789
cty13085,"Dawson County, GA",23279.354
cty13055,"Chattooga County, GA",22261.225
cty13127,"Glynn County, GA",21999.992
cty13063,"Clayton County, GA",21997.65
cty13105,"Elbert County, GA",21803.273
cty13141,"Hancock County, GA",21629.406
cty13111,"Fannin County, GA",21592.91
cty13071,"Colquitt County, GA",21236.594
cty13069,"Coffee County, GA",21188.041
cty13075,"Cook County, GA",20377.816
cty13031,"Bulloch County, GA",20237.875
cty13051,"Chatham County, GA",20093.471
cty13059,"Clarke County, GA",19403.711
cty13065,"Clinch County, GA",
cty13089,"DeKalb County, GA",20086.566
cty13115,"Floyd County, GA",19945.713
cty13131,"Grady County, GA",19938.689
cty13033,"Burke County, GA",19606.977
cty13021,"Bibb County, GA",19255.063
cty13095,"Dougherty County, GA",18978.914
cty13081,"Crisp County, GA",18897.488
cty13121,"Fulton County, GA",18498.045
cty13087,"Decatur County, GA",18206.049
cty13009,"Baldwin County, GA",18053.076
cty13099,"Early County, GA",17468.654
cty13133,"Greene County, GA",17058.189
cty13167,"Johnson County, GA",
cty13173,"Lanier County, GA",
cty13181,"Lincoln County, GA",
cty13191,"McIntosh County, GA",
cty13253,"Seminole County, GA",21667.752
cty13217,"Newton County, GA",20719.871
cty13255,"Spalding County, GA",20176.086
cty13237,"Putnam County, GA",20003.018
