cty,Name,Individual_income_For_Children_Born_in_1978_rP_gF_p100
cty08029,"Delta County, CO",30312.58
cty08051,"Gunnison County, CO",
cty08055,"Huerfano County, CO",
cty08063,"Kit Carson County, CO",
cty08065,"Lake County, CO",
cty08071,"Las Animas County, CO",
cty08087,"Morgan County, CO",35521.41
cty08077,"Mesa County, CO",33520.023
cty08081,"Moffat County, CO",32224.289
cty08085,"Montrose County, CO",31915.07
cty08083,"Montezuma County, CO",26841.381
cty08099,"Prowers County, CO",
cty08101,"Pueblo County, CO",34592.41
cty08105,"Rio Grande County, CO",
cty10001,"Kent County, DE",42785.738
cty09005,"Litchfield County, CT",42531.258
cty10005,"Sussex County, DE",40923.84
cty09013,"Tolland County, CT",40174.723
cty12063,"Jackson County, FL",38734.973
cty08119,"Teller County, CO",35832.688
cty08121,"Washington County, CO",
cty09009,"New Haven County, CT",42305.305
cty12011,"Broward County, FL",38892.59
cty12055,"Highlands County, FL",37820.145
cty12001,"Alachua County, FL",36656.633
cty12005,"Bay County, FL",36638.875
cty08123,"Weld County, CO",35567.164
cty08125,"Yuma County, CO",
cty09001,"Fairfield County, CT",43127.41
cty09003,"Hartford County, CT",42355.02
cty09007,"Middlesex County, CT",42063.227
cty10003,"New Castle County, DE",41571.543
cty09015,"Windham County, CT",40807.852
cty12039,"Gadsden County, FL",39979.809
cty09011,"New London County, CT",39629.297
cty11001,"District of Columbia, DC",39338.422
cty12057,"Hillsborough County, FL",39033.5
cty12061,"Indian River County, FL",38037.984
cty12021,"Collier County, FL",37349.191
cty12031,"Duval County, FL",37080.273
cty12027,"DeSoto County, FL",36946.23
cty12019,"Clay County, FL",36494.16
cty12023,"Columbia County, FL",35574.668
cty12033,"Escambia County, FL",35308.539
cty12007,"Bradford County, FL",35293.582
cty12009,"Brevard County, FL",35099.699
cty12017,"Citrus County, FL",34290.563
cty12003,"Baker County, FL",34281.813
cty12013,"Calhoun County, FL",
cty12015,"Charlotte County, FL",34943.441
cty12029,"Dixie County, FL",
cty12035,"Flagler County, FL",33625.758
cty12037,"Franklin County, FL",
cty12041,"Gilchrist County, FL",
cty12043,"Glades County, FL",
cty12045,"Gulf County, FL",
cty12047,"Hamilton County, FL",
cty12049,"Hardee County, FL",
cty12053,"Hernando County, FL",34346.09
cty12051,"Hendry County, FL",32678.256
cty12059,"Holmes County, FL",
cty12065,"Jefferson County, FL",
cty12067,"Lafayette County, FL",
cty13031,"Bulloch County, GA",39928.656
cty12115,"Sarasota County, FL",39523.207
cty13035,"Butts County, GA",39155.371
cty12086,"Miami-Dade County, FL",38820.336
cty12073,"Leon County, FL",38549.855
cty12105,"Polk County, FL",38142.055
cty12071,"Lee County, FL",38075.883
cty12075,"Levy County, FL",38039.719
cty12085,"Martin County, FL",38033.367
cty12081,"Manatee County, FL",37781.781
cty12103,"Pinellas County, FL",37759.07
cty12101,"Pasco County, FL",37661.453
cty12099,"Palm Beach County, FL",37641.34
cty12117,"Seminole County, FL",37579.715
cty12109,"St. Johns County, FL",36887.813
cty12095,"Orange County, FL",36469.359
cty12127,"Volusia County, FL",36300.793
cty13021,"Bibb County, GA",35931.746
cty13029,"Bryan County, GA",35748.078
cty12129,"Wakulla County, FL",34913.387
cty12091,"Okaloosa County, FL",34912.352
cty12069,"Lake County, FL",34434.281
cty12077,"Liberty County, FL",
cty12079,"Madison County, FL",
cty12083,"Marion County, FL",36001.133
cty13009,"Baldwin County, GA",35759.219
cty13013,"Barrow County, GA",35603.809
cty12087,"Monroe County, FL",35205.539
cty12121,"Suwannee County, FL",34714.465
cty12097,"Osceola County, FL",34609.395
cty12111,"St. Lucie County, FL",34604.141
cty13015,"Bartow County, GA",34445.258
cty12113,"Santa Rosa County, FL",34360.586
cty12107,"Putnam County, FL",33845.805
cty12093,"Okeechobee County, FL",33746.98
cty12089,"Nassau County, FL",31764.156
cty12119,"Sumter County, FL",31080.15
cty12123,"Taylor County, FL",
cty12125,"Union County, FL",
cty12131,"Walton County, FL",28902.828
cty12133,"Washington County, FL",
cty13001,"Appling County, GA",
cty13003,"Atkinson County, GA",
cty13005,"Bacon County, GA",
cty13011,"Banks County, GA",
cty13017,"Ben Hill County, GA",
cty13019,"Berrien County, GA",
cty13023,"Bleckley County, GA",
cty13025,"Brantley County, GA",
cty13027,"Brooks County, GA",
cty13033,"Burke County, GA",
cty13039,"Camden County, GA",30113.906
cty13043,"Candler County, GA",
cty13131,"Grady County, GA",40780.48
cty13129,"Gordon County, GA",39004.867
cty13059,"Clarke County, GA",38103.75
cty13135,"Gwinnett County, GA",38029.055
cty13047,"Catoosa County, GA",37805.176
cty13121,"Fulton County, GA",37709.613
cty13145,"Harris County, GA",37361.594
cty13073,"Columbia County, GA",37191.168
cty13053,"Chattahoochee County, GA",37070.301
cty13045,"Carroll County, GA",36852.051
cty13049,"Charlton County, GA",
cty13071,"Colquitt County, GA",35907.07
cty13051,"Chatham County, GA",35771.168
cty13055,"Chattooga County, GA",
cty13069,"Coffee County, GA",38424.516
cty13067,"Cobb County, GA",37965.281
cty13095,"Dougherty County, GA",36441.047
cty13139,"Hall County, GA",35657.863
cty13057,"Cherokee County, GA",35350.738
cty13087,"Decatur County, GA",35170.539
cty13063,"Clayton County, GA",34913.082
cty13065,"Clinch County, GA",
cty13075,"Cook County, GA",
cty13143,"Haralson County, GA",34608.844
cty13077,"Coweta County, GA",33613.156
cty13079,"Crawford County, GA",
cty13081,"Crisp County, GA",
cty13083,"Dade County, GA",
cty13137,"Habersham County, GA",38875.77
cty13117,"Forsyth County, GA",36625.766
cty13089,"DeKalb County, GA",36013.73
cty13085,"Dawson County, GA",35224.371
cty13091,"Dodge County, GA",
cty13093,"Dooly County, GA",
cty13097,"Douglas County, GA",34719.492
cty13099,"Early County, GA",
cty13103,"Effingham County, GA",33835.848
cty13105,"Elbert County, GA",
cty13107,"Emanuel County, GA",
cty13109,"Evans County, GA",
cty13111,"Fannin County, GA",
cty13115,"Floyd County, GA",36825.672
cty13113,"Fayette County, GA",35257.578
cty13119,"Franklin County, GA",
cty13123,"Gilmer County, GA",
cty13127,"Glynn County, GA",33534.121
cty13133,"Greene County, GA",
cty13141,"Hancock County, GA",
cty13147,"Hart County, GA",28441.16
cty13149,"Heard County, GA",
cty13153,"Houston County, GA",36932.824
cty13157,"Jackson County, GA",36181.309
cty13151,"Henry County, GA",34429.902
cty13155,"Irwin County, GA",
cty13159,"Jasper County, GA",
cty13161,"Jeff Davis County, GA",
cty13163,"Jefferson County, GA",
cty13165,"Jenkins County, GA",
cty13167,"Johnson County, GA",
cty13213,"Murray County, GA",39292.078
cty13175,"Laurens County, GA",38980.965
cty13211,"Morgan County, GA",38488.973
cty13169,"Jones County, GA",37804.758
cty13171,"Lamar County, GA",
cty13173,"Lanier County, GA",
cty13187,"Lumpkin County, GA",38549.977
cty13177,"Lee County, GA",36628.945
cty13179,"Liberty County, GA",36531.211
cty13181,"Lincoln County, GA",
cty13183,"Long County, GA",
cty13207,"Monroe County, GA",37778.914
cty13215,"Muscogee County, GA",37334.734
cty13185,"Lowndes County, GA",36449.402
cty13195,"Madison County, GA",35721.375
cty13255,"Spalding County, GA",35023.281
cty13189,"McDuffie County, GA",34303.188
cty13191,"McIntosh County, GA",
cty13193,"Macon County, GA",
cty13197,"Marion County, GA",
cty13199,"Meriwether County, GA",
cty13201,"Miller County, GA",
cty13205,"Mitchell County, GA",
cty13209,"Montgomery County, GA",
