cty,Name,Individual_income_For_Children_Born_in_1978_rP_gM_p75
cty13141,"Hancock County, GA",
cty13149,"Heard County, GA",
cty13231,"Pike County, GA",39417.348
cty13223,"Paulding County, GA",35074.059
cty13153,"Houston County, GA",34640.891
cty13151,"Henry County, GA",34439.465
cty13155,"Irwin County, GA",
cty13229,"Pierce County, GA",38714.68
cty13247,"Rockdale County, GA",34350.34
cty13233,"Polk County, GA",34296.57
cty13227,"Pickens County, GA",34270.504
cty13177,"Lee County, GA",34169.391
cty13219,"Oconee County, GA",34097.504
cty13175,"Laurens County, GA",33996.156
cty13199,"Meriwether County, GA",33910.293
cty13195,"Madison County, GA",33686.414
cty13255,"Spalding County, GA",33650.387
cty13221,"Oglethorpe County, GA",33442.773
cty13205,"Mitchell County, GA",33401.5
cty13169,"Jones County, GA",33390.371
cty13179,"Liberty County, GA",33377.574
cty13171,"Lamar County, GA",33298.84
cty13157,"Jackson County, GA",32906.84
cty13189,"McDuffie County, GA",32797.473
cty13207,"Monroe County, GA",32553.982
cty13215,"Muscogee County, GA",32425.451
cty13251,"Screven County, GA",32403.73
cty13211,"Morgan County, GA",32363.211
cty13159,"Jasper County, GA",31344.098
cty13161,"Jeff Davis County, GA",
cty13163,"Jefferson County, GA",
cty13165,"Jenkins County, GA",
cty13167,"Johnson County, GA",
cty13173,"Lanier County, GA",
cty13181,"Lincoln County, GA",
cty13183,"Long County, GA",
cty13185,"Lowndes County, GA",32785.332
cty13187,"Lumpkin County, GA",30239.227
cty13191,"McIntosh County, GA",
cty13193,"Macon County, GA",
cty13197,"Marion County, GA",
cty13201,"Miller County, GA",
cty13209,"Montgomery County, GA",
cty13225,"Peach County, GA",31596.621
cty13217,"Newton County, GA",30934.373
cty13213,"Murray County, GA",30641.162
cty13235,"Pulaski County, GA",
cty13237,"Putnam County, GA",29189.748
cty13241,"Rabun County, GA",
cty13243,"Randolph County, GA",
cty13245,"Richmond County, GA",29876.322
cty13253,"Seminole County, GA",
cty16029,"Caribou County, ID",38753.824
cty16007,"Bear Lake County, ID",38746.883
cty16045,"Gem County, ID",37498.422
cty15007,"Kauai County, HI",37491.254
cty13257,"Stephens County, GA",33931.492
cty13261,"Sumter County, GA",31324.494
cty13263,"Talbot County, GA",
cty13267,"Tattnall County, GA",32204.459
cty13269,"Taylor County, GA",
cty13271,"Telfair County, GA",
cty13273,"Terrell County, GA",
cty16011,"Bingham County, ID",36944.324
cty13297,"Walton County, GA",36623.48
cty13299,"Ware County, GA",36605.34
cty16049,"Idaho County, ID",36292.566
